trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
132,21:20:00,21:20:00,70262,22,,0,0,75462.29656110,1
132,21:25:00,21:25:00,70272,23,,0,0,78352.91199656,1
134,20:21:00,20:21:00,70012,1,,0,0,0.00000000,1
134,20:26:00,20:26:00,70022,2,,0,0,2521.94934933,1
134,20:31:00,20:31:00,70032,3,,0,0,7940.93034485,1
134,20:38:00,20:38:00,70042,4,,0,0,14613.27361600,1
134,20:42:00,20:42:00,70052,5,,0,0,17657.01202032,1
134,20:46:00,20:46:00,70062,6,,0,0,21733.69455401,1
134,20:52:00,20:52:00,70082,7,,0,0,26054.12325917,1
134,20:55:00,20:55:00,70092,8,,0,0,28363.63117281,1
134,20:59:00,20:59:00,70102,9,,0,0,30512.62329786,1
134,21:02:00,21:02:00,70112,10,,0,0,31879.50093918,1
134,21:06:00,21:06:00,70122,11,,0,0,35212.82110523,1
134,21:10:00,21:10:00,70132,12,,0,0,37207.99317525,1
134,21:15:00,21:15:00,70142,13,,0,0,40700.61129692,1
134,21:22:00,21:22:00,70162,14,,0,0,46301.17800911,1
134,21:26:00,21:26:00,70172,15,,0,0,48312.56032380,1
134,21:30:00,21:30:00,70192,16,,0,0,50860.83022858,1
134,21:35:00,21:35:00,70202,17,,0,0,54800.51533953,1
134,21:39:00,21:39:00,70212,18,,0,0,57908.92961490,1
134,21:44:00,21:44:00,70222,19,,0,0,62221.44703504,1
134,21:48:00,21:48:00,70232,20,,0,0,65411.39080849,1
134,21:54:00,21:54:00,70242,21,,0,0,71301.07093998,1
134,22:03:00,22:03:00,70262,22,,0,0,75462.29656110,1
134,22:08:00,22:08:00,70272,23,,0,0,78352.91199656,1
138,21:14:00,21:14:00,70012,1,,0,0,0.00000000,1
138,21:19:00,21:19:00,70022,2,,0,0,2521.94934933,1
138,21:24:00,21:24:00,70032,3,,0,0,7940.93034485,1
138,21:31:00,21:31:00,70042,4,,0,0,14613.27361600,1
138,21:35:00,21:35:00,70052,5,,0,0,17657.01202032,1
138,21:39:00,21:39:00,70062,6,,0,0,21733.69455401,1
138,21:45:00,21:45:00,70082,7,,0,0,26054.12325917,1
138,21:48:00,21:48:00,70092,8,,0,0,28363.63117281,1
138,21:52:00,21:52:00,70102,9,,0,0,30512.62329786,1
138,21:55:00,21:55:00,70112,10,,0,0,31879.50093918,1
138,21:59:00,21:59:00,70122,11,,0,0,35212.82110523,1
138,22:03:00,22:03:00,70132,12,,0,0,37207.99317525,1
138,22:08:00,22:08:00,70142,13,,0,0,40700.61129692,1
138,22:15:00,22:15:00,70162,14,,0,0,46301.17800911,1
138,22:19:00,22:19:00,70172,15,,0,0,48312.56032380,1
138,22:23:00,22:23:00,70192,16,,0,0,50860.83022858,1
138,22:28:00,22:28:00,70202,17,,0,0,54800.51533953,1
138,22:32:00,22:32:00,70212,18,,0,0,57908.92961490,1
138,22:37:00,22:37:00,70222,19,,0,0,62221.44703504,1
138,22:41:00,22:41:00,70232,20,,0,0,65411.39080849,1
138,22:47:00,22:47:00,70242,21,,0,0,71301.07093998,1
138,22:57:00,22:57:00,70262,22,,0,0,75462.29656110,1
138,23:03:00,23:03:00,70272,23,,0,0,78352.91199656,1
142,22:14:00,22:14:00,70012,1,,0,0,0.00000000,1
142,22:19:00,22:19:00,70022,2,,0,0,2521.94934933,1
142,22:24:00,22:24:00,70032,3,,0,0,7940.93034485,1
142,22:31:00,22:31:00,70042,4,,0,0,14613.27361600,1
142,22:35:00,22:35:00,70052,5,,0,0,17657.01202032,1
142,22:40:00,22:40:00,70062,6,,0,0,21733.69455401,1
142,22:45:00,22:45:00,70082,7,,0,0,26054.12325917,1
142,22:48:00,22:48:00,70092,8,,0,0,28363.63117281,1
142,22:52:00,22:52:00,70102,9,,0,0,30512.62329786,1
142,22:55:00,22:55:00,70112,10,,0,0,31879.50093918,1
142,22:59:00,22:59:00,70122,11,,0,0,35212.82110523,1
142,23:02:00,23:02:00,70132,12,,0,0,37207.99317525,1
142,23:07:00,23:07:00,70142,13,,0,0,40700.61129692,1
142,23:13:00,23:13:00,70162,14,,0,0,46301.17800911,1
142,23:16:00,23:16:00,70172,15,,0,0,48312.56032380,1
142,23:20:00,23:20:00,70192,16,,0,0,50860.83022858,1
142,23:24:00,23:24:00,70202,17,,0,0,54800.51533953,1
142,23:29:00,23:29:00,70212,18,,0,0,57908.92961490,1
142,23:35:00,23:35:00,70222,19,,0,0,62221.44703504,1
142,23:39:00,23:39:00,70232,20,,0,0,65411.39080849,1
142,23:45:00,23:45:00,70242,21,,0,0,71301.07093998,1
142,23:55:00,23:55:00,70262,22,,0,0,75462.29656110,1
142,24:00:00,24:00:00,70272,23,,0,0,78352.91199656,1
146,24:03:00,24:03:00,70012,1,,0,0,0.00000000,1
146,24:08:00,24:08:00,70022,2,,0,0,2521.94934933,1
146,24:13:00,24:13:00,70032,3,,0,0,7940.93034485,1
146,24:20:00,24:20:00,70042,4,,0,0,14613.27361600,1
146,24:24:00,24:24:00,70052,5,,0,0,17657.01202032,1
