Departure table for Balboa Park
Time       Line            Next Stop                                Next Stop Time
16:39      Green-N         Berryessa / North San Jose               17:59
16:59      Green-N         Berryessa / North San Jose               18:19
17:19      Green-N         Berryessa / North San Jose               18:39
17:39      Green-N         Berryessa / North San Jose               18:59
17:59      Green-N         Berryessa / North San Jose               19:19
18:19      Green-N         Berryessa / North San Jose               19:39
18:39      Green-N         Berryessa / North San Jose               19:59
18:59      Green-N         Berryessa / North San Jose               20:19
19:19      Green-N         Berryessa / North San Jose               20:39
19:39      Green-N         Berryessa / North San Jose               20:59

Departure table for Balboa Park
Time       Line            Next Stop                                Next Stop Time
05:27      Green-S         Daly City                                05:31
05:47      Green-S         Daly City                                05:51
06:07      Green-S         Daly City                                06:11
06:27      Green-S         Daly City                                06:31
06:47      Green-S         Daly City                                06:51
07:07      Green-S         Daly City                                07:11
07:27      Green-S         Daly City                                07:31
07:47      Green-S         Daly City                                07:51
08:07      Green-S         Daly City                                08:11
08:27      Green-S         Daly City                                08:31
08:47      Green-S         Daly City                                08:51
09:07      Green-S         Daly City                                09:11
09:27      Green-S         Daly City                                09:31
09:47      Green-S         Daly City                                09:51
10:07      Green-S         Daly City                                10:11
10:27      Green-S         Daly City                                10:31
10:47      Green-S         Daly City                                10:51
11:07      Green-S         Daly City                                11:11
11:27      Green-S         Daly City                                11:31
11:47      Green-S         Daly City                                11:51
12:07      Green-S         Daly City                                12:11
12:27      Green-S         Daly City                                12:31
12:47      Green-S         Daly City                                12:51
13:07      Green-S         Daly City                                13:11
13:27      Green-S         Daly City                                13:31
13:47      Green-S         Daly City                                13:51
14:07      Green-S         Daly City                                14:11
14:27      Green-S         Daly City                                14:31
14:47      Green-S         Daly City                                14:51
15:07      Green-S         Daly City                                15:11
15:27      Green-S         Daly City                                15:31
15:47      Green-S         Daly City                                15:51
16:07      Green-S         Daly City                                16:11
16:27      Green-S         Daly City                                16:31
16:47      Green-S         Daly City                                16:51
17:07      Green-S         Daly City                                17:11
17:27      Green-S         Daly City                                17:31
17:47      Green-S         Daly City                                17:51
18:07      Green-S         Daly City                                18:11
18:27      Green-S         Daly City                                18:31
18:47      Green-S         Daly City                                18:51
19:07      Green-S         Daly City                                19:11
19:27      Green-S         Daly City                                19:31
19:47      Green-S         Daly City                                19:51
20:07      Green-S         Daly City                                20:11

